ds,hierarchy_2_code,item_id,y
2021-10-13,43,17269,3.0
2021-10-13,15,971991,29.0
2021-10-13,72,977410,4.0
2021-10-13,71,440500,55.0
2021-10-13,61,494937,6.0
2021-10-13,15,1394,11.945
2021-10-13,15,376635,11.0
2021-10-14,60,937937,9.0
2021-10-14,82,955764,2.0
2021-10-14,101,3935,0.0
2021-10-14,15,1403,72.0
2021-10-14,82,1138428,5.0
2021-10-14,101,3906,3.0
2021-10-14,54,945593,9.0
2021-10-14,82,1078620,1.0
2021-10-14,43,17269,4.0
2021-10-14,15,971991,1.0
2021-10-14,72,977410,11.0
2021-10-14,71,440500,29.0
2021-10-14,61,494937,5.0
2021-10-14,15,1394,7.3
2021-10-14,15,376635,13.0
2021-10-15,60,937937,11.0
2021-10-15,82,955764,1.0
2021-10-15,101,3935,1.0
2021-10-15,15,1403,87.0
2021-10-15,82,1138428,2.0
2021-10-15,101,3906,5.0
2021-10-15,54,945593,2.0
2021-10-15,82,1078620,2.0
2021-10-15,43,17269,2.0
2021-10-15,15,971991,0.0
2021-10-15,72,977410,13.0
2021-10-15,71,440500,46.0
2021-10-15,61,494937,6.0
2021-10-15,15,1394,6.405
2021-10-15,15,376635,20.0
2021-10-16,60,937937,19.0
2021-10-16,82,955764,0.0
2021-10-16,101,3935,2.0
2021-10-16,15,1403,98.0
2021-10-16,82,1138428,3.0
2021-10-16,101,3906,1.0
2021-10-16,54,945593,13.0
2021-10-16,82,1078620,0.0
2021-10-16,43,17269,3.0
2021-10-16,15,971991,0.0
2021-10-16,72,977410,9.0
2021-10-16,71,440500,54.0
2021-10-16,61,494937,4.0
2021-10-16,15,1394,16.02
2021-10-16,15,376635,26.0
2021-10-17,60,937937,10.0
2021-10-17,82,955764,3.0
2021-10-17,101,3935,2.0
2021-10-17,15,1403,86.0
2021-10-17,82,1138428,0.0
2021-10-17,101,3906,0.0
2021-10-17,54,945593,3.0
2021-10-17,82,1078620,1.0
2021-10-17,43,17269,0.0
2021-10-17,15,971991,0.0
2021-10-17,72,977410,4.0
2021-10-17,71,440500,35.0
2021-10-17,61,494937,10.0
2021-10-17,15,1394,14.53
2021-10-17,15,376635,27.0
2021-10-18,60,937937,9.0
2021-10-18,82,955764,1.0
2021-10-18,101,3935,2.0
2021-10-18,15,1403,85.0
2021-10-18,82,1138428,4.0
2021-10-18,101,3906,2.0
2021-10-18,54,945593,7.0
2021-10-18,82,1078620,1.0
2021-10-18,43,17269,2.0
2021-10-18,15,971991,0.0
2021-10-18,72,977410,4.0
2021-10-18,71,440500,32.0
2021-10-18,61,494937,3.0
2021-10-18,15,1394,9.464999999999998
2021-10-18,15,376635,6.0
2021-10-19,60,937937,14.0
2021-10-19,82,955764,1.0
2021-10-19,101,3935,7.0
2021-10-19,15,1403,63.0
2021-10-19,82,1138428,1.0
2021-10-19,101,3906,2.0
2021-10-19,54,945593,5.0
2021-10-19,82,1078620,1.0
2021-10-19,43,17269,0.0
